,source,target,s_value,weight,metric,distance,proximity
29,1,64,1.0,0.0366790582404,True,26.2635135135,0.0366790582404
60,1,144,1.0,0.00879885410272,True,112.651162791,0.00879885410272
67,1,156,1.0,0.00866843245846,True,114.361111111,0.00866843245846
73,1,175,1.0,0.032319391635,True,29.9411764706,0.032319391635
78,1,185,1.0,0.0171223418945,True,57.4032258065,0.0171223418945
86,1,203,1.0,0.0128398791541,True,76.8823529412,0.0128398791541
103,1,245,1.0,0.0244655581948,True,39.8737864078,0.0244655581948
107,1,253,1.0,0.0197005516154,True,49.76,0.0197005516154
108,1,254,1.0,0.012034767105,True,82.0925925926,0.012034767105
112,1,259,1.0,0.0223147872657,True,43.8133333333,0.0223147872657
115,1,282,1.0,0.0470859985785,True,20.2377358491,0.0470859985785
126,1,306,1.0,0.0360979802321,True,26.7023809524,0.0360979802321
135,1,320,1.0,0.019362745098,True,50.6455696203,0.019362745098
158,2,7,1.0,0.0206726319037,True,47.3731343284,0.0206726319037
170,2,51,1.0,0.0602327173169,True,15.6022727273,0.0602327173169
186,2,93,1.0,0.0145903479237,True,67.5384615385,0.0145903479237
207,2,157,1.0,0.0412208936438,True,23.2595419847,0.0412208936438
220,2,203,1.0,0.112469437653,True,7.89130434783,0.112469437653
227,2,230,1.0,0.047391623806,True,20.1007751938,0.047391623806
234,2,244,1.0,0.0250294464075,True,38.9529411765,0.0250294464075
254,2,311,1.0,0.0294820717131,True,32.9189189189,0.0294820717131
289,3,66,1.0,0.07005674378,True,13.2741433022,0.07005674378
292,3,89,1.0,0.058206295783,True,16.1802721088,0.058206295783
297,3,109,1.0,0.0767712217592,True,12.0257142857,0.0767712217592
309,3,160,1.0,0.0992348713193,True,9.07710280374,0.0992348713193
355,4,5,1.0,0.0230515916575,True,42.380952381,0.0230515916575
367,4,48,1.0,0.100626612606,True,8.93772893773,0.100626612606
385,4,110,1.0,0.0669031931069,True,13.946969697,0.0669031931069
400,4,155,1.0,0.0084622118471,True,117.172413793,0.0084622118471
424,4,251,1.0,0.00932568149211,True,106.230769231,0.00932568149211
429,4,278,1.0,0.0337808575141,True,28.6025641026,0.0337808575141
443,4,332,1.0,0.0445665445665,True,21.4383561644,0.0445665445665
464,5,45,1.0,0.0570040899796,True,16.5426008969,0.0570040899796
479,5,89,1.0,0.0281622911695,True,34.5084745763,0.0281622911695
485,5,110,1.0,0.0257510729614,True,37.8333333333,0.0257510729614
495,5,147,1.0,0.0123131046614,True,80.2142857143,0.0123131046614
524,5,311,1.0,0.0168725519735,True,58.2678571429,0.0168725519735
542,6,29,1.0,0.0582743988685,True,16.1601941748,0.0582743988685
545,6,44,1.0,0.0213562307354,True,45.824742268,0.0213562307354
582,6,163,1.0,0.0242245868236,True,40.2803738318,0.0242245868236
600,6,239,1.0,0.077308817384,True,11.9351351351,0.077308817384
607,6,274,1.0,0.0507322175732,True,18.7113402062,0.0507322175732
611,6,289,1.0,0.178439641539,True,4.60413589365,0.178439641539
620,6,311,1.0,0.0109066121336,True,90.6875,0.0109066121336
663,7,93,1.0,0.022076092062,True,44.2978723404,0.022076092062
666,7,105,1.0,0.0175942549372,True,55.8367346939,0.0175942549372
683,7,144,1.0,0.0113765642776,True,86.9,0.0113765642776
719,7,244,1.0,0.03478566409,True,27.7474747475,0.03478566409
724,7,265,1.0,0.0642468239564,True,14.5649717514,0.0642468239564
726,7,278,1.0,0.0265410958904,True,36.6774193548,0.0265410958904
730,7,289,1.0,0.0306560392397,True,31.62,0.0306560392397
756,8,34,1.0,0.0167737330478,True,58.6170212766,0.0167737330478
762,8,72,1.0,0.0215855572998,True,45.3272727273,0.0215855572998
772,8,102,1.0,0.0598417408506,True,15.7107438017,0.0598417408506
778,8,117,1.0,0.0188298587761,True,52.1071428571,0.0188298587761
783,8,147,1.0,0.0172209026128,True,57.0689655172,0.0172209026128
795,8,197,1.0,0.0107851596204,True,91.72,0.0107851596204
808,8,245,1.0,0.0165574335978,True,59.3958333333,0.0165574335978
816,8,285,1.0,0.0212084833934,True,46.1509433962,0.0212084833934
822,8,304,1.0,0.10312129593,True,8.69731800766,0.10312129593
824,8,310,1.0,0.0344431687715,True,28.0333333333,0.0344431687715
835,8,344,1.0,0.0569506726457,True,16.5590551181,0.0569506726457
