source,target,proximity
12007,12054,1
12009,12054,37
12010,12054,12
12018,12054,11
12019,12054,12
12020,12054,31
12023,12054,14
12025,12054,7
12027,12054,6
12028,12054,2
12033,12054,25
12035,12054,2
12041,12054,9
12043,12054,5
12045,12054,5
12046,12054,5
12047,12054,37
12052,12054,1
12053,12054,5
12056,12054,3
12057,12054,2
12059,12054,12
12061,12054,32
12062,12054,3
12065,12054,42
12066,12054,3
12067,12054,17
12074,12054,3
12077,12054,100
12083,12054,14
12084,12054,8
12085,12054,2
12086,12054,2
12087,12054,6
12090,12054,3
12093,12054,1
12094,12054,2
12110,12054,55
12118,12054,16
12120,12054,3
12121,12054,3
12122,12054,4
12123,12054,22
12134,12054,3
12137,12054,1
12138,12054,6
12140,12054,5
12143,12054,35
12144,12054,64
12148,12054,3
12150,12054,2
12151,12054,2
12153,12054,2
12154,12054,4
12156,12054,2
12157,12054,4
12158,12054,86
12159,12054,88
12160,12054,1
12167,12054,1
12168,12054,4
12170,12054,8
12175,12054,2
12180,12054,87
12182,12054,25
12183,12054,6
12184,12054,10
12185,12054,1
12186,12054,57
12187,12054,1
12188,12054,16
12189,12054,34
12193,12054,12
12196,12054,7
12198,12054,30
12202,12054,29
12203,12054,76
12204,12054,20
12205,12054,86
12206,12054,56
12207,12054,4
12208,12054,60
12209,12054,52
12210,12054,27
12211,12054,20
12222,12054,8
12302,12054,47
12303,12054,57
12304,12054,30
12305,12054,8
12306,12054,52
12307,12054,3
12308,12054,24
12309,12054,60
12803,12054,6
12822,12054,3
12828,12054,6
12831,12054,13
12833,12054,4
12835,12054,3
12850,12054,2
12866,12054,34
12871,12054,9
12884,12054,1
13459,12054,1
12008,12077,1
12009,12077,33
12010,12077,18
12018,12077,19
12019,12077,14
12020,12077,32
12022,12077,1
12023,12077,11
12025,12077,2
12027,12077,5
12028,12077,1
12031,12077,1
12033,12077,26
12035,12077,1
12041,12077,5
12043,12077,4
12045,12077,9
12046,12077,8
12047,12077,37
12052,12077,3
12053,12077,8
12054,12077,156
12056,12077,8
12057,12077,2
12059,12077,15
12061,12077,35
12062,12077,5
12063,12077,3
12065,12077,35
12066,12077,2
12067,12077,10
12074,12077,3
12083,12077,21
12084,12077,9
12085,12077,1
12086,12077,2
12087,12077,12
12090,12077,3
12092,12077,2
12093,12077,1
12094,12077,5
12110,12077,49
12118,12077,17
12120,12077,4
12121,12077,2
12122,12077,5
12123,12077,18
12134,12077,2
12137,12077,4
12138,12077,8
12140,12077,3
12143,12077,72
12144,12077,80
12147,12077,4
12148,12077,2
12149,12077,1
12153,12077,3
12154,12077,2
12156,12077,2
12157,12077,4
12158,12077,119
12159,12077,31
12167,12077,1
12168,12077,5
12170,12077,7
12175,12077,1
12180,12077,123
12182,12077,24
12183,12077,6
12184,12077,13
12185,12077,4
12186,12077,31
12188,12077,11
12189,12077,36
12193,12077,23
12196,12077,8
12198,12077,19
12202,12077,41
12203,12077,57
12204,12077,14
12205,12077,69
12206,12077,34
12207,12077,3
12208,12077,48
12209,12077,37
12210,12077,16
12211,12077,35
12222,12077,4
12302,12077,49
12303,12077,43
12304,12077,40
12305,12077,6
12306,12077,43
12307,12077,12
12308,12077,23
12309,12077,38
12469,12077,2
12803,12077,8
12822,12077,6
12828,12077,10
12831,12077,13
12833,12077,3
12835,12077,4
12850,12077,3
12859,12077,1
12863,12077,1
12866,12077,29
12871,12077,3
12884,12077,1
13459,12077,5
12009,12184,5
12010,12184,4
12018,12184,17
12019,12184,1
12020,12184,4
12027,12184,1
12033,12184,39
12043,12184,1
12045,12184,1
12046,12184,1
12047,12184,6
12053,12184,1
12054,12184,6
12056,12184,1
12057,12184,1
12061,12184,28
12062,12184,8
12063,12184,2
12065,12184,4
12067,12184,2
12077,12184,6
12083,12184,5
12090,12184,1
12094,12184,1
12110,12184,6
12118,12184,1
12120,12184,1
12121,12184,2
12123,12184,35
12138,12184,1
12143,12184,3
12144,12184,15
12148,12184,3
12153,12184,1
12156,12184,8
12158,12184,5
12159,12184,2
12168,12184,6
12180,12184,25
12182,12184,9
12183,12184,1
12186,12184,3
12188,12184,2
12189,12184,3
12196,12184,2
12198,12184,4
12202,12184,1
12203,12184,11
12205,12184,7
12206,12184,5
12207,12184,1
12208,12184,6
12209,12184,3
12210,12184,2
12211,12184,5
12222,12184,2
12304,12184,2
12305,12184,1
12306,12184,5
12308,12184,3
12309,12184,3
12469,12184,1
12803,12184,2
12822,12184,3
12831,12184,1
12863,12184,1
12866,12184,4
12007,12203,1
12008,12203,5
12009,12203,194
12010,12203,114
12018,12203,78
12019,12203,164
12020,12203,228
12022,12203,4
12023,12203,33
12025,12203,21
12027,12203,37
12028,12203,3
12033,12203,110
12035,12203,2
12041,12203,7
12043,12203,24
12045,12203,3
12046,12203,7
12047,12203,297
12052,12203,21
12053,12203,57
12054,12203,332
12056,12203,30
12057,12203,8
12059,12203,32
12061,12203,140
12062,12203,15
12063,12203,5
12064,12203,2
12065,12203,516
12066,12203,14
12067,12203,26
12074,12203,9
12076,12203,4
12077,12203,109
12083,12203,37
12084,12203,177
12085,12203,14
12086,12203,9
12087,12203,3
12090,12203,15
12092,12203,3
12093,12203,2
12094,12203,14
12110,12203,399
12118,12203,131
12120,12203,5
12121,12203,14
12122,12203,21
12123,12203,58
12134,12203,12
12137,12203,23
12138,12203,13
12140,12203,16
12143,12203,45
12144,12203,318
12147,12203,6
12148,12203,54
12149,12203,12
12150,12203,14
12151,12203,4
12153,12203,9
12154,12203,29
12156,12203,10
12157,12203,22
12158,12203,90
12159,12203,233
12160,12203,2
12161,12203,3
12166,12203,3
12167,12203,7
12168,12203,16
12169,12203,1
12170,12203,30
12175,12203,5
12180,12203,607
12182,12203,147
12183,12203,13
12184,12203,68
12185,12203,13
12186,12203,154
12187,12203,2
12188,12203,136
12189,12203,314
12193,12203,31
12194,12203,1
12196,12203,45
12198,12203,109
12202,12203,239
12204,12203,141
12205,12203,587
12206,12203,324
12207,12203,34
12208,12203,568
12209,12203,266
12210,12203,237
12211,12203,204
12222,12203,50
12302,12203,309
12303,12203,546
12304,12203,328
12305,12203,57
12306,12203,408
12307,12203,76
12308,12203,181
12309,12203,469
12469,12203,1
12803,12203,26
12822,12203,20
12828,12203,22
12831,12203,88
12833,12203,15
12835,12203,7
12850,12203,7
12859,12203,8
12863,12203,1
12866,12203,228
12871,12203,17
12884,12203,3
13459,12203,8
12008,12205,6
12009,12205,239
12010,12205,179
12018,12205,147
12019,12205,281
12020,12205,507
12022,12205,11
12023,12205,54
12025,12205,52
12027,12205,67
12028,12205,14
12031,12205,1
12033,12205,175
12035,12205,8
12041,12205,6
12043,12205,34
12045,12205,17
12046,12205,16
12047,12205,540
12052,12205,33
12053,12205,90
12054,12205,386
12056,12205,53
12057,12205,11
12059,12205,46
12061,12205,246
12062,12205,28
12063,12205,13
12064,12205,2
12065,12205,1053
12066,12205,15
12067,12205,34
12071,12205,1
12074,12205,42
12076,12205,2
12077,12205,144
12083,12205,51
12084,12205,141
12085,12205,17
12086,12205,11
12087,12205,12
12090,12205,49
12092,12205,5
12093,12205,8
12094,12205,45
12110,12205,682
12118,12205,323
12120,12205,3
12121,12205,34
12122,12205,26
12123,12205,122
12134,12205,17
12137,12205,33
12138,12205,49
12140,12205,34
12143,12205,96
12144,12205,509
12147,12205,2
12148,12205,69
12149,12205,8
12150,12205,30
12151,12205,13
12153,12205,13
12154,12205,32
12156,12205,9
12157,12205,24
12158,12205,148
12159,12205,233
12160,12205,5
12161,12205,3
12166,12205,11
12167,12205,10
12168,12205,29
12169,12205,6
12170,12205,97
12175,12205,4
12180,12205,1137
12182,12205,370
12183,12205,62
12184,12205,91
12185,12205,24
12186,12205,217
12187,12205,5
12188,12205,319
12189,12205,572
12193,12205,48
12196,12205,49
12198,12205,188
12202,12205,331
12203,12205,845
12204,12205,245
12206,12205,529
12207,12205,68
12208,12205,516
12209,12205,279
12210,12205,298
12211,12205,452
12222,12205,33
12302,12205,586
12303,12205,999
12304,12205,856
12305,12205,132
12306,12205,736
12307,12205,226
12308,12205,400
12309,12205,862
12469,12205,10
12803,12205,74
12822,12205,63
12828,12205,78
12831,12205,220
12833,12205,40
12835,12205,23
12850,12205,45
12859,12205,19
12863,12205,2
12866,12205,416
12871,12205,44
12884,12205,6
13459,12205,11
12007,12206,1
12008,12206,3
12009,12206,70
12010,12206,55
12018,12206,77
12019,12206,82
12020,12206,137
12022,12206,6
12023,12206,11
12025,12206,6
12027,12206,19
12028,12206,6
12033,12206,74
12035,12206,1
12041,12206,6
12043,12206,8
12045,12206,5
12046,12206,8
12047,12206,223
12052,12206,9
12053,12206,26
12054,12206,174
12056,12206,17
12057,12206,2
12059,12206,17
12061,12206,110
12062,12206,13
12063,12206,1
12065,12206,343
12066,12206,8
12067,12206,19
12074,12206,12
12076,12206,1
12077,12206,56
12083,12206,15
12084,12206,43
12085,12206,4
12086,12206,4
12087,12206,8
12090,12206,22
12092,12206,2
12093,12206,1
12094,12206,16
12110,12206,219
12118,12206,99
12120,12206,4
12121,12206,13
12122,12206,4
12123,12206,53
12134,12206,8
12137,12206,4
12138,12206,9
12140,12206,12
12143,12206,57
12144,12206,248
12147,12206,5
12148,12206,21
12149,12206,2
12150,12206,5
12151,12206,4
12153,12206,5
12154,12206,22
12156,12206,4
12157,12206,5
12158,12206,50
12159,12206,99
12161,12206,2
12166,12206,4
12167,12206,3
12168,12206,16
12169,12206,3
12170,12206,36
12175,12206,1
12180,12206,399
12182,12206,123
12183,12206,41
12184,12206,31
12185,12206,11
12186,12206,75
12188,12206,99
12189,12206,190
12193,12206,14
12196,12206,29
12198,12206,70
12202,12206,150
12203,12206,371
12204,12206,116
12205,12206,446
12207,12206,31
12208,12206,284
12209,12206,185
12210,12206,139
12211,12206,135
12222,12206,15
12302,12206,157
12303,12206,232
12304,12206,166
12305,12206,32
12306,12206,205
12307,12206,29
12308,12206,86
12309,12206,241
12469,12206,2
12803,12206,23
12822,12206,2
12828,12206,16
12831,12206,54
12833,12206,16
12835,12206,7
12850,12206,8
12859,12206,9
12863,12206,1
12866,12206,102
12871,12206,17
12884,12206,3
12008,12207,4
12009,12207,68
12010,12207,44
12018,12207,62
12019,12207,73
12020,12207,101
12022,12207,4
12023,12207,11
12025,12207,10
12027,12207,13
12028,12207,1
12033,12207,75
12040,12207,2
12041,12207,3
12043,12207,10
12045,12207,4
12046,12207,8
12047,12207,156
12052,12207,11
12053,12207,19
12054,12207,233
12056,12207,12
12057,12207,2
12059,12207,11
12061,12207,100
12062,12207,18
12063,12207,6
12065,12207,261
12066,12207,3
12067,12207,13
12071,12207,1
12074,12207,3
12077,12207,64
12083,12207,16
12084,12207,26
12085,12207,3
12086,12207,4
12087,12207,4
12090,12207,20
12093,12207,1
12094,12207,13
12110,12207,206
12118,12207,52
12120,12207,3
12121,12207,6
12122,12207,4
12123,12207,38
12131,12207,1
12137,12207,7
12138,12207,11
12140,12207,9
12143,12207,26
12144,12207,216
12147,12207,2
12148,12207,23
12150,12207,4
12151,12207,3
12153,12207,7
12154,12207,9
12156,12207,6
12157,12207,4
12158,12207,74
12159,12207,94
12161,12207,2
12166,12207,3
12167,12207,4
12168,12207,2
12169,12207,4
12170,12207,15
12180,12207,391
12182,12207,95
12183,12207,11
12184,12207,37
12185,12207,5
12186,12207,66
12187,12207,1
12188,12207,78
12189,12207,144
12193,12207,8
12194,12207,1
12196,12207,35
12198,12207,80
12202,12207,150
12203,12207,238
12204,12207,106
12205,12207,255
12206,12207,187
12208,12207,214
12209,12207,131
12210,12207,181
12211,12207,86
12222,12207,17
12302,12207,95
12303,12207,179
12304,12207,109
12305,12207,23
12306,12207,149
12307,12207,17
12308,12207,54
12309,12207,183
12469,12207,5
12803,12207,11
12822,12207,9
12828,12207,9
12831,12207,28
12833,12207,6
12835,12207,3
12850,12207,11
12859,12207,1
12866,12207,90
12871,12207,6
12884,12207,2
13459,12207,3
12009,12211,58
12010,12211,42
12018,12211,56
12019,12211,84
12020,12211,159
12022,12211,1
12023,12211,11
12025,12211,8
12027,12211,21
12028,12211,3
12033,12211,72
12040,12211,2
12041,12211,3
12043,12211,5
12045,12211,4
12046,12211,5
12047,12211,174
12052,12211,11
12053,12211,29
12054,12211,160
12056,12211,23
12057,12211,2
12059,12211,20
12061,12211,85
12062,12211,13
12063,12211,6
12065,12211,366
12066,12211,3
12067,12211,11
12074,12211,12
12077,12211,68
12083,12211,19
12084,12211,40
12085,12211,3
12086,12211,2
12087,12211,3
12089,12211,1
12090,12211,16
12093,12211,2
12094,12211,15
12110,12211,245
12118,12211,72
12121,12211,11
12122,12211,3
12123,12211,42
12134,12211,10
12137,12211,12
12138,12211,9
12140,12211,12
12143,12211,33
12144,12211,180
12148,12211,36
12149,12211,4
12150,12211,2
12151,12211,9
12153,12211,7
12154,12211,17
12156,12211,12
12157,12211,1
12158,12211,56
12159,12211,93
12160,12211,1
12161,12211,5
12166,12211,1
12167,12211,1
12168,12211,12
12170,12211,33
12175,12211,2
12180,12211,332
12182,12211,101
12183,12211,39
12184,12211,30
12185,12211,15
12186,12211,57
12188,12211,89
12189,12211,157
12193,12211,13
12196,12211,23
12198,12211,97
12202,12211,88
12203,12211,248
12204,12211,97
12205,12211,400
12206,12211,148
12207,12211,20
12208,12211,167
12209,12211,113
12210,12211,79
12222,12211,11
12302,12211,143
12303,12211,194
12304,12211,136
12305,12211,15
12306,12211,146
12307,12211,19
12308,12211,69
12309,12211,259
12469,12211,6
12803,12211,12
12822,12211,15
12828,12211,9
12831,12211,38
12833,12211,7
12835,12211,3
12850,12211,7
12859,12211,8
12863,12211,2
12866,12211,125
12871,12211,23
12884,12211,1
12008,12302,14
12009,12302,43
12010,12302,339
12018,12302,20
12019,12302,163
12020,12302,257
12022,12302,1
12023,12302,6
12025,12302,39
12027,12302,77
12028,12302,5
12033,12302,34
12035,12302,1
12041,12302,1
12043,12302,6
12046,12302,1
12047,12302,78
12052,12302,1
12053,12302,50
12054,12302,26
12056,12302,34
12059,12302,1
12061,12302,26
