source,target,proximity
14001,14031,197
14004,14031,107
14006,14031,7
14008,14031,1
14012,14031,6
14013,14031,14
14025,14031,3
14026,14031,2
14028,14031,3
14030,14031,2
14032,14031,152
14033,14031,1
14037,14031,5
14043,14031,111
14047,14031,10
14051,14031,122
14052,14031,49
14055,14031,1
14057,14031,10
14059,14031,19
14067,14031,17
14068,14031,24
14069,14031,5
14070,14031,4
14072,14031,29
14075,14031,44
14080,14031,8
14081,14031,2
14085,14031,6
14086,14031,167
14091,14031,1
14092,14031,13
14094,14031,171
14102,14031,9
14105,14031,9
14108,14031,8
14111,14031,5
14120,14031,69
14127,14031,51
14131,14031,10
14132,14031,14
14139,14031,2
14141,14031,4
14145,14031,6
14150,14031,85
14170,14031,4
14172,14031,3
14174,14031,6
14201,14031,13
14202,14031,2
14203,14031,2
14204,14031,2
14206,14031,40
14207,14031,15
14208,14031,10
14209,14031,14
14210,14031,10
14211,14031,21
14212,14031,17
14213,14031,17
14214,14031,21
14215,14031,42
14216,14031,20
14217,14031,44
14218,14031,22
14219,14031,16
14220,14031,28
14221,14031,287
14222,14031,11
14223,14031,40
14224,14031,80
14225,14031,105
14226,14031,69
14227,14031,58
14228,14031,37
14301,14031,8
14303,14031,5
14304,14031,38
14305,14031,16
14001,14043,99
14004,14043,183
14006,14043,53
14008,14043,5
14012,14043,5
14013,14043,20
14025,14043,22
14026,14043,22
14028,14043,6
14030,14043,6
14031,14043,83
14032,14043,69
14033,14043,18
14034,14043,7
14037,14043,2
14047,14043,41
14051,14043,170
14052,14043,192
14055,14043,5
14057,14043,51
14059,14043,143
14061,14043,1
14067,14043,15
14068,14043,57
14069,14043,3
14070,14043,18
14072,14043,82
14075,14043,302
14080,14043,33
14081,14043,3
14085,14043,57
14086,14043,953
14091,14043,5
14092,14043,25
14094,14043,235
14102,14043,26
14105,14043,12
14108,14043,19
14109,14043,6
14111,14043,10
14120,14043,172
14126,14043,1
14127,14043,233
14131,14043,13
14132,14043,25
14134,14043,1
14139,14043,23
14141,14043,41
14145,14043,4
14150,14043,312
14169,14043,1
14170,14043,19
14172,14043,10
14174,14043,23
14201,14043,47
14202,14043,26
14203,14043,17
14204,14043,36
14206,14043,203
14207,14043,107
14208,14043,45
14209,14043,37
14210,14043,73
14211,14043,121
14212,14043,80
14213,14043,115
14214,14043,96
14215,14043,256
14216,14043,136
14217,14043,153
14218,14043,145
14219,14043,101
14220,14043,166
14221,14043,504
14222,14043,61
14223,14043,142
14224,14043,513
14225,14043,591
14226,14043,237
14227,14043,459
14228,14043,142
14301,14043,35
14303,14043,18
14304,14043,113
14305,14043,54
14001,14068,72
14004,14068,54
14006,14068,28
14008,14068,14
14012,14068,17
14013,14068,7
14025,14068,5
14026,14068,5
14028,14068,8
14030,14068,3
14031,14068,84
14032,14068,74
14033,14068,12
14034,14068,2
14037,14068,4
14043,14068,209
14047,14068,29
14051,14068,326
14052,14068,81
14055,14068,5
14057,14068,23
14059,14068,39
14061,14068,1
14067,14068,37
14069,14068,3
14070,14068,1
14072,14068,187
14075,14068,194
14080,14068,21
14081,14068,3
14085,14068,35
14086,14068,249
14091,14068,1
14092,14068,45
14094,14068,628
14102,14068,4
14105,14068,37
14108,14068,47
14109,14068,4
14111,14068,11
14120,14068,597
14126,14068,2
14127,14068,145
14131,14068,28
14132,14068,50
14139,14068,6
14141,14068,23
14145,14068,1
14150,14068,523
14170,14068,5
14172,14068,24
14174,14068,23
14201,14068,68
14202,14068,43
