source,target,proximity
10916,10917,12
10918,10917,60
10919,10917,1
10921,10917,13
10922,10917,3
10924,10917,40
10925,10917,7
10926,10917,44
10928,10917,7
10930,10917,144
10940,10917,82
10941,10917,37
10950,10917,244
10953,10917,1
10958,10917,4
10963,10917,1
10969,10917,1
10973,10917,5
10975,10917,1
10987,10917,14
10990,10917,34
10992,10917,69
10996,10917,1
10998,10917,6
12501,10917,1
12508,10917,22
12514,10917,1
12518,10917,31
12520,10917,18
12522,10917,1
12524,10917,11
12533,10917,10
12538,10917,1
12540,10917,1
12543,10917,8
12545,10917,1
12546,10917,1
12549,10917,16
12550,10917,192
12553,10917,146
12566,10917,4
12567,10917,2
12569,10917,2
12570,10917,2
12572,10917,2
12575,10917,4
12577,10917,14
12582,10917,2
12586,10917,23
12589,10917,11
12590,10917,19
12601,10917,9
12603,10917,13
12721,10917,8
12771,10917,5
10914,10918,3
10916,10918,34
10917,10918,9
10919,10918,10
10921,10918,69
10922,10918,2
10924,10918,177
10925,10918,23
10926,10918,23
10928,10918,11
10930,10918,32
10933,10918,5
10940,10918,516
10941,10918,158
10950,10918,329
10953,10918,2
10958,10918,31
10963,10918,28
10969,10918,19
10973,10918,25
10975,10918,1
10979,10918,2
10987,10918,13
10988,10918,4
10990,10918,224
10992,10918,89
10998,10918,19
12504,10918,1
12508,10918,15
12514,10918,1
12518,10918,27
12520,10918,10
12522,10918,2
12524,10918,8
12531,10918,3
12533,10918,18
12538,10918,6
12540,10918,1
12542,10918,7
12543,10918,23
12545,10918,2
12546,10918,1
12549,10918,57
12550,10918,218
12553,10918,110
12564,10918,3
12566,10918,28
12569,10918,1
12570,10918,2
12571,10918,3
12572,10918,2
12575,10918,7
12577,10918,10
12581,10918,1
12582,10918,4
12583,10918,1
12585,10918,1
12586,10918,59
12589,10918,39
12590,10918,17
12592,10918,1
12594,10918,2
12601,10918,23
12603,10918,24
12721,10918,33
12729,10918,21
12746,10918,10
12771,10918,89
12780,10918,15
12785,10918,4
10916,10926,5
10917,10926,5
10918,10926,20
10919,10926,2
10921,10926,5
10924,10926,9
10925,10926,2
10928,10926,1
10930,10926,14
10940,10926,52
10941,10926,13
10950,10926,120
10958,10926,3
10963,10926,2
10973,10926,4
10987,10926,2
10990,10926,11
10992,10926,11
10998,10926,1
12508,10926,1
12518,10926,9
12533,10926,3
12538,10926,1
12543,10926,5
12546,10926,2
12549,10926,10
12550,10926,34
12553,10926,17
12564,10926,1
12566,10926,4
12567,10926,1
12569,10926,1
12575,10926,3
12577,10926,3
12586,10926,6
12589,10926,2
12590,10926,2
12601,10926,5
12603,10926,6
12721,10926,10
12729,10926,2
12771,10926,9
12780,10926,1
10910,10940,2
10914,10940,4
10915,10940,4
10916,10940,133
10917,10940,24
10918,10940,248
10919,10940,47
10921,10940,112
10922,10940,5
10924,10940,392
10925,10940,29
10926,10940,35
10928,10940,32
10930,10940,84
10932,10940,2
10933,10940,26
10941,10940,882
10950,10940,416
10958,10940,182
10963,10940,228
10969,10940,23
10973,10940,139
10975,10940,2
10979,10940,1
10985,10940,1
10987,10940,19
10988,10940,31
10990,10940,279
10992,10940,114
10996,10940,7
10998,10940,108
12501,10940,3
12504,10940,2
12508,10940,49
12512,10940,1
12514,10940,3
12518,10940,46
12520,10940,20
12522,10940,6
12524,10940,37
12527,10940,1
12531,10940,7
12533,10940,43
12538,10940,18
12540,10940,10
12542,10940,17
12543,10940,83
12545,10940,5
12546,10940,3
12549,10940,299
12550,10940,556
12553,10940,262
12564,10940,7
12566,10940,199
12567,10940,5
12569,10940,12
12570,10940,11
12571,10940,14
12572,10940,13
12575,10940,15
12577,10940,24
12578,10940,2
12580,10940,3
12581,10940,1
12582,10940,15
12583,10940,3
12585,10940,1
12586,10940,227
12589,10940,118
12590,10940,66
12592,10940,2
12594,10940,8
12601,10940,87
12603,10940,101
12604,10940,1
12721,10940,276
12729,10940,43
12746,10940,27
12771,10940,517
12780,10940,76
12785,10940,28
10914,10941,2
10915,10941,3
10916,10941,70
10917,10941,11
10918,10941,105
10919,10941,44
10921,10941,28
10924,10941,177
10925,10941,11
10926,10941,24
10928,10941,9
10930,10941,34
10932,10941,2
10933,10941,14
10940,10941,1465
10950,10941,205
10958,10941,82
10963,10941,86
10969,10941,10
10973,10941,40
10975,10941,1
10979,10941,1
10985,10941,3
10987,10941,5
10988,10941,20
10990,10941,163
10992,10941,65
10996,10941,1
10998,10941,58
12501,10941,2
12504,10941,1
12508,10941,39
12514,10941,1
12518,10941,20
12520,10941,14
12522,10941,1
12524,10941,29
12531,10941,4
12533,10941,21
12538,10941,4
12540,10941,1
12542,10941,24
12543,10941,38
12545,10941,2
12546,10941,1
12549,10941,200
12550,10941,350
12553,10941,146
12564,10941,2
12566,10941,150
12567,10941,2
12569,10941,6
12570,10941,3
12571,10941,7
12572,10941,5
12575,10941,25
12577,10941,10
12578,10941,1
12580,10941,1
12581,10941,2
12582,10941,12
12583,10941,1
12586,10941,182
12589,10941,126
12590,10941,73
12592,10941,4
12594,10941,4
12601,10941,69
12603,10941,39
12721,10941,187
12729,10941,21
12746,10941,17
12771,10941,241
12780,10941,27
12785,10941,13
10916,10987,3
10917,10987,3
10918,10987,8
10919,10987,1
10921,10987,3
10922,10987,1
10924,10987,7
10925,10987,17
10926,10987,6
10928,10987,3
10930,10987,16
10940,10987,9
10941,10987,2
10950,10987,54
10958,10987,1
10973,10987,1
10975,10987,5
10990,10987,44
10992,10987,7
12518,10987,3
12522,10987,1
12524,10987,2
12531,10987,1
12533,10987,2
12538,10987,2
12540,10987,1
12549,10987,1
12550,10987,8
12553,10987,2
12566,10987,1
12569,10987,2
12572,10987,1
12577,10987,2
12589,10987,1
12590,10987,3
12592,10987,1
12601,10987,5
12603,10987,3
12721,10987,1
10918,12522,1
10924,12522,1
10930,12522,1
10940,12522,1
10941,12522,1
10987,12522,1
10988,12522,1
10996,12522,1
12501,12522,12
12508,12522,2
12514,12522,5
12518,12522,1
12533,12522,12
12538,12522,1
12540,12522,6
12545,12522,12
12546,12522,6
12549,12522,2
12550,12522,2
12553,12522,3
12564,12522,18
12566,12522,1
12567,12522,5
12569,12522,9
12570,12522,6
12571,12522,8
12572,12522,3
12575,12522,1
12578,12522,3
12580,12522,4
12581,12522,3
12582,12522,3
12585,12522,1
12589,12522,2
12590,12522,1
12592,12522,11
12594,12522,47
12601,12522,10
12603,12522,10
12771,12522,1
10916,12533,2
10917,12533,1
10918,12533,8
10921,12533,2
10924,12533,4
10925,12533,4
10926,12533,1
10928,12533,3
10930,12533,8
10940,12533,25
10941,12533,18
10950,12533,16
10958,12533,3
10973,12533,1
10987,12533,1
10990,12533,8
10992,12533,8
10998,12533,2
12501,12533,3
12508,12533,130
12512,12533,1
12514,12533,16
12518,12533,7
12520,12533,4
12522,12533,33
12524,12533,252
12531,12533,23
12538,12533,85
12540,12533,132
12542,12533,38
12543,12533,8
12545,12533,37
12546,12533,4
12549,12533,17
12550,12533,170
12553,12533,56
12564,12533,39
12566,12533,15
12567,12533,11
12569,12533,115
12570,12533,133
12571,12533,29
12572,12533,26
12574,12533,1
12575,12533,1
12578,12533,27
12580,12533,33
12581,12533,9
12582,12533,75
12583,12533,3
12585,12533,12
12586,12533,31
12589,12533,58
12590,12533,580
12592,12533,10
12594,12533,16
12601,12533,239
12603,12533,470
12604,12533,2
12721,12533,7
12729,12533,2
12746,12533,1
12771,12533,7
10914,12550,4
10915,12550,1
10916,12550,73
10917,12550,19
10918,12550,153
10919,12550,10
10921,12550,28
10922,12550,5
10924,12550,135
10925,12550,21
10926,12550,26
10928,12550,32
10930,12550,105
10932,12550,1
10933,12550,3
10940,12550,599
10941,12550,195
10950,12550,279
10953,12550,7
10958,12550,41
10963,12550,39
10969,12550,10
10973,12550,26
10975,12550,1
10979,12550,1
10987,12550,9
10988,12550,6
10990,12550,122
10992,12550,194
10996,12550,10
10998,12550,27
12501,12550,4
12507,12550,1
12508,12550,377
12514,12550,16
12518,12550,189
12520,12550,105
12522,12550,13
12524,12550,205
12527,12550,3
12531,12550,15
12533,12550,196
12538,12550,101
12540,12550,45
12542,12550,245
12543,12550,110
12545,12550,18
12546,12550,4
12549,12550,295
12553,12550,1273
12564,12550,30
12566,12550,180
12567,12550,7
12569,12550,61
12570,12550,60
12571,12550,32
12572,12550,51
12574,12550,1
12575,12550,90
12577,12550,80
12578,12550,19
12580,12550,33
12581,12550,6
12582,12550,28
12583,12550,4
12585,12550,3
12586,12550,502
12589,12550,704
12590,12550,430
12592,12550,2
12594,12550,18
12601,12550,345
12603,12550,352
12604,12550,2
12721,12550,105
12729,12550,10
12746,12550,9
12771,12550,103
12780,12550,15
12785,12550,6
10914,12553,3
10915,12553,1
10916,12553,25
10917,12553,12
10918,12553,71
10919,12553,4
10921,12553,16
10922,12553,11
10924,12553,59
10925,12553,11
10926,12553,13
10928,12553,49
10930,12553,71
10932,12553,1
10933,12553,1
10940,12553,183
10941,12553,67
10950,12553,161
10953,12553,5
10958,12553,18
10963,12553,13
10969,12553,2
10973,12553,13
10975,12553,1
10979,12553,1
10985,12553,1
10987,12553,7
10988,12553,2
10990,12553,43
10992,12553,106
10996,12553,10
10998,12553,9
12504,12553,1
12508,12553,100
12512,12553,1
12514,12553,7
12518,12553,176
12520,12553,90
12522,12553,5
12524,12553,59
12531,12553,7
12533,12553,59
12538,12553,34
12540,12553,10
12542,12553,83
12543,12553,43
12545,12553,3
12546,12553,2
12549,12553,116
12550,12553,1415
