source,target,proximity
13143,14450,4
13146,14450,3
13156,14450,2
14058,14450,5
14098,14450,8
14103,14450,19
14105,14450,3
14125,14450,3
14411,14450,12
14414,14450,41
14416,14450,8
14418,14450,1
14420,14450,66
14422,14450,3
14423,14450,15
14424,14450,201
14425,14450,147
14428,14450,51
14432,14450,40
14433,14450,11
14435,14450,14
14437,14450,16
14445,14450,172
14454,14450,36
14456,14450,36
14464,14450,28
14466,14450,11
14467,14450,86
14468,14450,87
14469,14450,58
14470,14450,13
14471,14450,18
14472,14450,89
14475,14450,2
14476,14450,2
14477,14450,3
14478,14450,1
14479,14450,1
14480,14450,3
14482,14450,8
14485,14450,25
14486,14450,1
14487,14450,41
14489,14450,24
14502,14450,270
14504,14450,14
14505,14450,85
14506,14450,9
14507,14450,1
14510,14450,20
14511,14450,4
14512,14450,18
14513,14450,91
14514,14450,25
14516,14450,8
14517,14450,3
14519,14450,159
14522,14450,191
14525,14450,5
14526,14450,377
14527,14450,9
14532,14450,25
14533,14450,3
14534,14450,508
14537,14450,1
14543,14450,26
14544,14450,9
14546,14450,23
14548,14450,41
14551,14450,27
14555,14450,3
14559,14450,84
14560,14450,12
14561,14450,14
14564,14450,256
14568,14450,144
14571,14450,1
14572,14450,8
14580,14450,593
14586,14450,100
14589,14450,67
14590,14450,7
14604,14450,8
14605,14450,56
14606,14450,136
14607,14450,172
14608,14450,55
14609,14450,324
14610,14450,185
14611,14450,66
14612,14450,209
14613,14450,75
14614,14450,9
14615,14450,99
14616,14450,168
14617,14450,220
14618,14450,207
14619,14450,77
14620,14450,183
14621,14450,150
14622,14450,130
14623,14450,176
14624,14450,253
14625,14450,161
14626,14450,172
14627,14450,1
14822,14450,1
14836,14450,1
14837,14450,2
14842,14450,1
14878,14450,1
13143,14454,1
13146,14454,1
13156,14454,1
14058,14454,2
14098,14454,3
14103,14454,6
14105,14454,1
14125,14454,3
14411,14454,17
14414,14454,122
14416,14454,3
14418,14454,1
14420,14454,13
14422,14454,1
14423,14454,45
14424,14454,28
14425,14454,11
14428,14454,6
14432,14454,3
14433,14454,1
14435,14454,25
14437,14454,101
14445,14454,13
14450,14454,22
14456,14454,17
14462,14454,10
14464,14454,6
14466,14454,15
14467,14454,13
14468,14454,14
14469,14454,14
14470,14454,11
14471,14454,14
14472,14454,21
14476,14454,1
14478,14454,1
14480,14454,15
14481,14454,42
14482,14454,45
14485,14454,27
14486,14454,7
14487,14454,80
14489,14454,2
14502,14454,8
14504,14454,1
14506,14454,1
14507,14454,2
14510,14454,122
14511,14454,1
14512,14454,7
14513,14454,2
14514,14454,2
14517,14454,19
14519,14454,3
14522,14454,4
14525,14454,11
14526,14454,9
14532,14454,2
14533,14454,50
14534,14454,15
14539,14454,11
14543,14454,9
14544,14454,4
14545,14454,1
14546,14454,9
14548,14454,1
14551,14454,1
14559,14454,21
14560,14454,17
14561,14454,5
14564,14454,13
14572,14454,32
14580,14454,19
14586,14454,27
14589,14454,3
14590,14454,3
14592,14454,1
