source,target,proximity
13020,13035,2
13021,13035,20
13027,13035,23
13029,13035,14
13030,13035,7
13031,13035,11
13032,13035,98
13036,13035,3
13037,13035,68
13039,13035,22
13041,13035,15
13042,13035,1
13044,13035,1
13051,13035,1
13052,13035,21
13057,13035,32
13060,13035,6
13061,13035,31
13063,13035,12
13066,13035,46
13069,13035,9
13072,13035,15
13074,13035,3
13076,13035,2
13077,13035,2
13078,13035,26
13080,13035,2
13082,13035,14
13084,13035,17
13088,13035,24
13090,13035,33
13104,13035,86
13108,13035,7
13110,13035,5
13111,13035,2
13116,13035,6
13122,13035,41
13126,13035,18
13134,13035,2
13135,13035,4
13138,13035,2
13141,13035,2
13142,13035,2
13144,13035,1
13145,13035,2
13152,13035,4
13156,13035,1
13158,13035,9
13159,13035,15
13166,13035,4
13167,13035,2
13202,13035,8
13203,13035,22
13204,13035,26
13205,13035,20
13206,13035,21
13207,13035,13
13208,13035,41
13209,13035,6
13210,13035,45
13211,13035,4
13212,13035,25
13214,13035,14
13215,13035,14
13219,13035,7
13224,13035,9
13302,13035,1
13310,13035,14
13316,13035,14
13332,13035,19
13334,13035,46
13346,13035,39
13355,13035,5
13402,13035,7
13408,13035,121
13409,13035,57
13418,13035,2
13421,13035,73
13425,13035,7
13460,13035,9
13480,13035,9
13484,13035,9
13485,13035,1
13491,13035,5
13493,13035,1
13020,13057,2
13021,13057,207
13027,13057,797
13028,13057,40
13029,13057,285
13030,13057,193
13031,13057,397
13032,13057,279
13035,13057,149
13036,13057,244
13037,13057,334
13039,13057,719
13041,13057,466
13042,13057,48
13044,13057,69
13051,13057,4
13052,13057,15
13060,13057,49
13061,13057,14
13063,13057,57
13066,13057,399
13069,13057,329
13072,13057,7
13074,13057,56
13076,13057,62
13077,13057,29
13078,13057,287
13080,13057,52
13082,13057,262
13083,13057,11
13084,13057,126
13088,13057,717
13090,13057,978
13103,13057,14
13104,13057,540
13108,13057,99
13110,13057,40
13111,13057,10
13112,13057,31
13114,13057,75
13115,13057,3
13116,13057,228
13120,13057,48
13122,13057,23
13126,13057,212
13131,13057,63
13132,13057,118
13134,13057,5
13135,13057,126
13138,13057,1
13141,13057,3
13142,13057,69
