source,target,proximity
13042,13323,3
13054,13323,1
13157,13323,2
13303,13323,4
13304,13323,11
13308,13323,9
13309,13323,18
13313,13323,9
13316,13323,13
13318,13323,15
13319,13323,17
13321,13323,38
13322,13323,19
13324,13323,5
13328,13323,33
13329,13323,6
13338,13323,6
13339,13323,2
13340,13323,59
13341,13323,4
13350,13323,34
13352,13323,1
13354,13323,24
13357,13323,44
13361,13323,2
13362,13323,2
13363,13323,8
13365,13323,14
13402,13323,11
13403,13323,50
13406,13323,1
13407,13323,14
13413,13323,273
13416,13323,7
13417,13323,36
13420,13323,4
13421,13323,71
13424,13323,22
13425,13323,52
13431,13323,9
13435,13323,1
13438,13323,14
13439,13323,12
13440,13323,237
13441,13323,1
13456,13323,67
13461,13323,30
13469,13323,10
13471,13323,8
13476,13323,42
13477,13323,16
13478,13323,10
13480,13323,78
13486,13323,6
13490,13323,31
13491,13323,11
13492,13323,146
13494,13323,1
13495,13323,16
13501,13323,230
13502,13323,285
13042,13413,9
13054,13413,20
13123,13413,2
13157,13413,5
13162,13413,8
13301,13413,1
13303,13413,7
13304,13413,56
13308,13413,39
13309,13413,76
13313,13413,30
13316,13413,48
13318,13413,74
13319,13413,85
13321,13413,58
13322,13413,71
13323,13413,505
13324,13413,57
13328,13413,47
13329,13413,30
13331,13413,2
13338,13413,26
13339,13413,12
13340,13413,335
13341,13413,1
13350,13413,201
13352,13413,2
13354,13413,118
13357,13413,321
13361,13413,19
13363,13413,29
13365,13413,99
13367,13413,15
13402,13413,20
13403,13413,204
13406,13413,17
13407,13413,108
13416,13413,76
13417,13413,232
13420,13413,10
13421,13413,147
13424,13413,103
13425,13413,59
13431,13413,61
13435,13413,15
13438,13413,110
13439,13413,70
13440,13413,773
13454,13413,5
13456,13413,298
13461,13413,61
13469,13413,35
13470,13413,1
13471,13413,23
13472,13413,2
13475,13413,1
13476,13413,85
13477,13413,41
13478,13413,46
13480,13413,132
13483,13413,2
13486,13413,12
13489,13413,1
13490,13413,48
13491,13413,97
13492,13413,792
13494,13413,6
13495,13413,118
13501,13413,1619
13502,13413,1622
13042,13357,1
13304,13357,6
13308,13357,2
13309,13357,16
13313,13357,4
13316,13357,3
13318,13357,9
13321,13357,1
13322,13357,6
13323,13357,8
13324,13357,11
13328,13357,2
13329,13357,39
13338,13357,1
13339,13357,10
13340,13357,154
13350,13357,199
13354,13357,6
13361,13357,9
13365,13357,91
13367,13357,2
13403,13357,7
13406,13357,7
13407,13357,136
13413,13357,21
13416,13357,19
13417,13357,7
13420,13357,3
13421,13357,2
13424,13357,3
13425,13357,2
13431,13357,13
13435,13357,1
13438,13357,8
13439,13357,37
13440,13357,32
13454,13357,5
13456,13357,9
13461,13357,1
13469,13357,1
13470,13357,1
13471,13357,1
13472,13357,1
13476,13357,2
13478,13357,4
13480,13357,3
13486,13357,1
13490,13357,3
13491,13357,44
13492,13357,18
13495,13357,7
13501,13357,40
13502,13357,102
13042,13424,12
13054,13424,5
13157,13424,5
13162,13424,2
13301,13424,1
13303,13424,11
13304,13424,19
13308,13424,36
13309,13424,29
13313,13424,4
13316,13424,38
13318,13424,5
13319,13424,9
13321,13424,9
13322,13424,9
13323,13424,94
13324,13424,13
13328,13424,1
13329,13424,3
13331,13424,1
13338,13424,4
13339,13424,1
13340,13424,56
13341,13424,1
13350,13424,25
13354,13424,39
13357,13424,71
13361,13424,3
13363,13424,39
13365,13424,22
13367,13424,4
13402,13424,1
13403,13424,55
13406,13424,4
13407,13424,31
13413,13424,180
13416,13424,12
13417,13424,38
13420,13424,2
13421,13424,42
13425,13424,9
13431,13424,16
13435,13424,3
13438,13424,39
13439,13424,8
13440,13424,673
13456,13424,41
13461,13424,27
13469,13424,10
13471,13424,32
13472,13424,2
13475,13424,1
13476,13424,31
13477,13424,10
13478,13424,23
13480,13424,23
13483,13424,1
13486,13424,8
13490,13424,26
13491,13424,11
13492,13424,276
13495,13424,37
13501,13424,267
13502,13424,359
13042,13441,11
13054,13441,12
13123,13441,3
13157,13441,3
13303,13441,20
13304,13441,8
13308,13441,17
13309,13441,55
13313,13441,1
13316,13441,45
13318,13441,3
13319,13441,2
13321,13441,4
13322,13441,4
13323,13441,33
13324,13441,8
13328,13441,1
13329,13441,6
13331,13441,1
13338,13441,7
13339,13441,2
13340,13441,29
13350,13441,16
13354,13441,23
13357,13441,33
13363,13441,37
13365,13441,12
13367,13441,2
13402,13441,3
13403,13441,23
13406,13441,4
13407,13441,7
13413,13441,53
13416,13441,6
13417,13441,12
13421,13441,57
13424,13441,18
13425,13441,10
13431,13441,8
13435,13441,1
13438,13441,23
13439,13441,3
13440,13441,603
13454,13441,1
13456,13441,19
13461,13441,20
13469,13441,5
13471,13441,53
13472,13441,1
13476,13441,17
13477,13441,6
13478,13441,37
13480,13441,7
13483,13441,5
13486,13441,8
13489,13441,2
13490,13441,12
13491,13441,1
13492,13441,44
13494,13441,2
13495,13441,3
13501,13441,117
13502,13441,101
13042,13492,2
13054,13492,2
13157,13492,2
13301,13492,1
13303,13492,3
13304,13492,6
13308,13492,3
13309,13492,3
13316,13492,2
13318,13492,7
13319,13492,2
13321,13492,6
13322,13492,5
13323,13492,33
13324,13492,6
13328,13492,6
13329,13492,4
13338,13492,7
13339,13492,1
13340,13492,26
13350,13492,12
13354,13492,8
13357,13492,37
13361,13492,2
13362,13492,1
13363,13492,2
13365,13492,11
13367,13492,3
13402,13492,1
13403,13492,24
13406,13492,2
13407,13492,14
13413,13492,79
13416,13492,8
13417,13492,28
13420,13492,2
13421,13492,10
13424,13492,25
13425,13492,9
13431,13492,11
13435,13492,1
13438,13492,13
13439,13492,3
13440,13492,96
13454,13492,1
13456,13492,21
13461,13492,10
13469,13492,6
13471,13492,5
13472,13492,1
13476,13492,10
13477,13492,6
13478,13492,9
13480,13492,19
13486,13492,1
13490,13492,10
13491,13492,5
13494,13492,1
13495,13492,25
13501,13492,100
13502,13492,155
13042,13501,6
13054,13501,17
13123,13501,2
13157,13501,4
13162,13501,7
13301,13501,7
13303,13501,24
13304,13501,56
13308,13501,34
13309,13501,128
13313,13501,11
13316,13501,62
13318,13501,42
13319,13501,42
13321,13501,36
13322,13501,42
13323,13501,274
13324,13501,55
13328,13501,24
13329,13501,38
13331,13501,1
13338,13501,23
13339,13501,9
13340,13501,411
13341,13501,4
13350,13501,201
13352,13501,1
13354,13501,105
13357,13501,354
13361,13501,23
13362,13501,2
13363,13501,32
13365,13501,163
13367,13501,22
13402,13501,10
13403,13501,175
13406,13501,13
13407,13501,134
13413,13501,641
13416,13501,54
13417,13501,118
13420,13501,11
13421,13501,93
13424,13501,80
13425,13501,31
13431,13501,49
13435,13501,11
13438,13501,106
13439,13501,37
13440,13501,802
13441,13501,2
13454,13501,4
13456,13501,165
13461,13501,26
13469,13501,31
13470,13501,1
13471,13501,45
13472,13501,1
13476,13501,36
13477,13501,19
13478,13501,25
13480,13501,89
13486,13501,9
13490,13501,23
13491,13501,59
13492,13501,468
13494,13501,10
13495,13501,113
13502,13501,1652
13042,13502,7
13054,13502,17
13123,13502,3
13157,13502,3
13162,13502,5
13303,13502,20
13304,13502,70
13308,13502,47
13309,13502,101
13313,13502,19
13316,13502,51
13318,13502,34
13319,13502,47
13321,13502,43
13322,13502,28
13323,13502,346
13324,13502,69
13328,13502,23
13329,13502,30
13331,13502,1
13338,13502,27
13339,13502,13
13340,13502,322
13341,13502,1
13350,13502,205
13352,13502,5
13354,13502,113
13357,13502,305
13361,13502,15
13362,13502,2
13363,13502,30
13365,13502,127
13367,13502,14
13402,13502,22
13403,13502,213
13406,13502,19
13407,13502,121
13413,13502,765
13416,13502,51
13417,13502,161
13420,13502,11
13421,13502,128
13424,13502,66
13425,13502,34
13431,13502,69
13435,13502,11
13438,13502,124
13439,13502,57
13440,13502,751
13441,13502,2
13454,13502,13
13456,13502,174
13461,13502,36
13469,13502,32
13470,13502,3
13471,13502,39
13472,13502,4
13476,13502,50
13477,13502,23
13478,13502,47
13480,13502,83
13483,13502,3
13486,13502,15
13489,13502,2
13490,13502,38
13491,13502,66
13492,13502,550
13494,13502,7
13495,13502,145
13501,13502,1782
13042,13350,4
13054,13350,3
13304,13350,4
13308,13350,7
13309,13350,10
13313,13350,2
13316,13350,3
13318,13350,3
13319,13350,4
13321,13350,3
13322,13350,4
13323,13350,16
13324,13350,18
13328,13350,2
13329,13350,45
13338,13350,7
13339,13350,49
13340,13350,147
13341,13350,1
13352,13350,1
13354,13350,8
13357,13350,330
13361,13350,3
13363,13350,2
13365,13350,213
13403,13350,19
13406,13350,24
13407,13350,207
13413,13350,36
13416,13350,34
13417,13350,13
13421,13350,10
13424,13350,8
13425,13350,4
13431,13350,31
13438,13350,12
13439,13350,26
13440,13350,72
13454,13350,21
13456,13350,16
13461,13350,4
13469,13350,6
13470,13350,9
13471,13350,1
13476,13350,2
13478,13350,2
13480,13350,8
13486,13350,2
13489,13350,1
13490,13350,4
13491,13350,29
13492,13350,41
13494,13350,1
13495,13350,2
13501,13350,106
13502,13350,119
13042,13440,30
13054,13440,33
13123,13440,8
13157,13440,16
13162,13440,8
13301,13440,3
13303,13440,99
13304,13440,21
13308,13440,131
13309,13440,165
13313,13440,6
13316,13440,221
13318,13440,9
13319,13440,15
13321,13440,20
13322,13440,13
13323,13440,146
13324,13440,26
13328,13440,12
