beta,size,network,seed,realization,times
0.5,0.0,Albany,12121,0,"[83.4, 95.4, 111.6, 130.5, 152.7, 186.6, 237.8, 285.9, 393.6, 3920.8]"
0.5,0.0,Albany,12121,1,"[214.8, 234.2, 252.7, 270.0, 290.9, 310.9, 333.9, 371.1, 476.3, 5260.0]"
0.5,0.0,Albany,12121,2,"[110.1, 118.0, 128.2, 140.9, 184.8, 204.0, 232.6, 285.2, 434.9, 2059.0]"
0.5,0.0,Albany,12121,3,"[169.6, 177.5, 199.2, 217.2, 240.2, 274.8, 293.8, 314.4, 382.9, 6585.9]"
0.5,0.0,Albany,12121,4,"[200.2, 207.6, 221.6, 243.6, 283.9, 314.6, 371.2, 410.7, 476.2, 2683.1]"
0.5,0.0,Albany,12121,5,"[88.7, 102.8, 111.7, 128.7, 149.3, 182.4, 240.8, 310.2, 404.9, 2179.2]"
0.5,0.0,Albany,12121,6,"[118.2, 133.6, 147.2, 168.5, 208.4, 235.1, 255.6, 292.5, 348.8, 1195.6]"
0.5,0.0,Albany,12121,7,"[206.3, 222.0, 237.9, 264.9, 281.7, 295.4, 319.1, 378.8, 432.4, 4337.8]"
0.5,0.0,Albany,12121,8,"[133.7, 155.6, 167.2, 180.0, 201.1, 229.9, 279.4, 326.9, 394.8, 4188.0]"
0.5,0.0,Albany,12121,9,"[107.7, 129.8, 144.5, 168.2, 179.8, 197.1, 222.8, 253.3, 330.3, 3325.1]"
0.5,0.0,Albany,12121,10,"[133.9, 143.7, 155.1, 177.1, 192.7, 269.5, 297.8, 354.8, 398.4, 5580.5]"
0.5,0.0,Albany,12121,11,"[73.4, 93.8, 116.7, 138.5, 168.3, 181.9, 221.8, 257.6, 314.7, 2193.7]"
0.5,0.0,Albany,12121,12,"[229.0, 246.1, 255.2, 272.2, 291.4, 313.5, 332.4, 374.3, 451.9, 2542.1]"
0.5,0.0,Albany,12121,13,"[79.1, 91.7, 102.6, 123.2, 153.5, 178.0, 223.3, 252.9, 344.5, 2782.3]"
0.5,0.0,Albany,12121,14,"[122.0, 131.7, 148.7, 166.0, 180.6, 207.8, 230.9, 268.4, 333.3, 958.9]"
